Date,Open,High,Low,Price,Volume
2024-11-21 00:00:00,94217.02229634205,94217.02229634205,94217.02229634205,94217.02229634205,18626187594.26145
2024-11-22 00:00:00,98509.11859102432,98509.11859102432,98509.11859102432,98509.11859102432,19482845569.820488
2024-11-23 00:00:00,98927.49494553401,98927.49494553401,98927.49494553401,98927.49494553401,19580910009.578346
2024-11-24 00:00:00,97679.46381643033,97679.46381643033,97679.46381643033,97679.46381643033,19312556376.61502
2024-11-25 00:00:00,98015.9355289458,98015.9355289458,98015.9355289458,98015.9355289458,19394464847.274284
2024-11-26 00:00:00,93004.70093103287,93004.70093103287,93004.70093103287,93004.70093103287,18387886778.73866
2024-11-27 00:00:00,91931.83077291827,91931.83077291827,91931.83077291827,91931.83077291827,18199905144.060883
2024-11-28 00:00:00,95981.18057210564,95981.18057210564,95981.18057210564,95981.18057210564,18990886655.192253
2024-11-29 00:00:00,95661.59595817851,95661.59595817851,95661.59595817851,95661.59595817851,18922978523.0472
2024-11-30 00:00:00,97453.2473451042,97453.2473451042,97453.2473451042,97453.2473451042,19268260793.902443
2024-12-01 00:00:00,96513.14234698225,96513.14234698225,96513.14234698225,96513.14234698225,19100228142.698856
2024-12-02 00:00:00,97311.70719084324,97311.70719084324,97311.70719084324,97311.70719084324,19258084164.77507
2024-12-03 00:00:00,95833.1362300365,95833.1362300365,95833.1362300365,95833.1362300365,18965769142.75523
2024-12-04 00:00:00,96031.63097759831,96031.63097759831,96031.63097759831,96031.63097759831,19009221674.933643
2024-12-05 00:00:00,98881.4694561823,98881.4694561823,98881.4694561823,98881.4694561823,19572761926.042603
2024-12-06 00:00:00,97201.50036407741,97201.50036407741,97201.50036407741,97201.50036407741,19207425515.036095
2024-12-07 00:00:00,99973.85150659826,99973.85150659826,99973.85150659826,99973.85150659826,19783899720.437946
2024-12-08 00:00:00,99781.82999198174,99781.82999198174,99781.82999198174,99781.82999198174,19747390916.207542
2024-12-09 00:00:00,101235.3717025316,101235.3717025316,101235.3717025316,101235.3717025316,20032389676.388287
2024-12-10 00:00:00,97353.94700820887,97353.94700820887,97353.94700820887,97353.94700820887,19260476901.576283
2024-12-11 00:00:00,96649.71446771531,96649.71446771531,96649.71446771531,96649.71446771531,19131157787.282837
2024-12-12 00:00:00,101123.61811033697,101123.61811033697,101123.61811033697,101123.61811033697,20017464363.38842
2024-12-13 00:00:00,100000.80836535197,100000.80836535197,100000.80836535197,100000.80836535197,19791661499.633095
2024-12-14 00:00:00,101352.22971292294,101352.22971292294,101352.22971292294,101352.22971292294,20054060212.358356
2024-12-15 00:00:00,101367.01064553364,101367.01064553364,101367.01064553364,101367.01064553364,20076463866.988667
2024-12-16 00:00:00,104721.50151808978,104721.50151808978,104721.50151808978,104721.50151808978,20754878165.601925
2024-12-17 00:00:00,106074.10723541168,106074.10723541168,106074.10723541168,106074.10723541168,20974601937.10789
2024-12-18 00:00:00,106034.913402645,106034.913402645,106034.913402645,106034.913402645,21006298500.64912
2024-12-19 00:00:00,100355.5761481501,100355.5761481501,100355.5761481501,100355.5761481501,19852848330.935722
2024-12-20 00:00:00,97851.35377075805,97851.35377075805,97851.35377075805,97851.35377075805,19370222299.722084
2024-12-21 00:00:00,97691.43431692653,97691.43431692653,97691.43431692653,97691.43431692653,19323733081.160107
2024-12-22 00:00:00,97202.82496847633,97202.82496847633,97202.82496847633,97202.82496847633,19227681950.681652
